"","Study_ID","Population_homogenized","Intervention_R2","Comparator","Outcome_indicator","Class"
"213","s_87","Earthworms","Fertilisers and amendments","FYM − F","Taxonomic richness",NA
"214","s_87","Earthworms","Fertilisers and amendments","FYM − F","Surface density",NA
"215","s_87","Earthworms","Fertilisers and amendments","FYM − F","Biomass",NA
"216","s_87","Earthworms","Fertilisers and amendments","C + F","Taxonomic richness",NA
"217","s_87","Earthworms","Fertilisers and amendments","C + F","Surface density",NA
"218","s_87","Earthworms","Fertilisers and amendments","C + F","Biomass",NA
"219","s_87","Termites","Fertilisers and amendments","C - F","Taxonomic richness",NA
"220","s_87","Termites","Fertilisers and amendments","C - F","Surface density",NA
"221","s_87","Termites","Fertilisers and amendments","C - F","Biomass",NA
"222","s_87","Termites","Fertilisers and amendments","R − F","Taxonomic richness",NA
"223","s_87","Termites","Fertilisers and amendments","R − F","Surface density",NA
"224","s_87","Termites","Fertilisers and amendments","R − F","Biomass",NA
"225","s_87","Termites","Fertilisers and amendments","FYM − F","Taxonomic richness",NA
"226","s_87","Termites","Fertilisers and amendments","FYM − F","Surface density",NA
"227","s_87","Termites","Fertilisers and amendments","FYM − F","Biomass",NA
"228","s_87","Termites","Fertilisers and amendments","C + F","Taxonomic richness",NA
"229","s_87","Termites","Fertilisers and amendments","C + F","Surface density",NA
"230","s_87","Termites","Fertilisers and amendments","C + F","Biomass",NA
"231","s_2","Macroinvertebrates","Water management","Unpolluted","Taxonomic richness",NA
"232","s_2","Macroinvertebrates","Water management","Unpolluted","Surface density",NA
"233","s_2","Macroinvertebrates","Water management","Unpolluted","Activity",NA
"234","s_2","Macroinvertebrates","Water management","Unpolluted","Proportion of individuals","Geophage"
"235","s_2","Macroinvertebrates","Water management","Unpolluted","Proportion of individuals","Soft body"
"236","s_3","Macroinvertebrates","Agroforestry","Unmanaged tropical rainforest (primary degraded forest)","Specific richness",""
"237","s_3","Macroinvertebrates","Agroforestry","Unmanaged tropical rainforest (primary degraded forest)","Surface density",""
"238","s_3","Macroinvertebrates","Agroforestry","Unmanaged tropical rainforest (primary degraded forest)","Functional group richness",""
"239","s_3","Macroinvertebrates","Agroforestry","Unmanaged tropical rainforest (primary degraded forest)","Functional dispersion",""
"240","s_3","Macroinvertebrates",NA,"Unmanaged tropical rainforest (primary degraded forest)","NMDS",""
"241","s_3","Macroinvertebrates","Agroforestry","Unmanaged tropical rainforest (primary degraded forest)","Functional redundancy",""
"242","s_3","Macroinvertebrates","Agroforestry","Unmanaged tropical rainforest (primary degraded forest)","Response diversity",""
"243","s_3","Macroinvertebrates","Land-use change","Unmanaged tropical rainforest (primary degraded forest)","Specific richness",""
"244","s_3","Macroinvertebrates","Land-use change","Unmanaged tropical rainforest (primary degraded forest)","Surface density",""
"245","s_3","Macroinvertebrates","Land-use change","Unmanaged tropical rainforest (primary degraded forest)","Functional group richness",""
"246","s_3","Macroinvertebrates","Land-use change","Unmanaged tropical rainforest (primary degraded forest)","Functional dispersion",""
"247","s_3","Macroinvertebrates","Land-use change","Unmanaged tropical rainforest (primary degraded forest)","Functional redundancy",""
"248","s_3","Macroinvertebrates","Land-use change","Unmanaged tropical rainforest (primary degraded forest)","Response diversity",""
"249","s_4_site_1","Earthworms","Tillage management","No tillage","Specific richness",""
"250","s_4_site_1","Earthworms","Tillage management","No tillage","Shannon diversity index",""
"251","s_4_site_1","Earthworms","Tillage management","No tillage","Pielou’s evenness index",""
"252","s_4_site_1","Earthworms","Tillage management","No tillage","Functional richness (FRic)",""
"253","s_4_site_1","Earthworms","Tillage management","No tillage","Functional evenness (FEve)",""
"254","s_4_site_1","Earthworms","Tillage management","No tillage","Functional divergence (FDiv)",""
"255","s_4_site_2","Earthworms","Tillage management","No tillage","Specific richness",""
"256","s_4_site_2","Earthworms","Tillage management","No tillage","Shannon diversity index",""
"257","s_4_site_2","Earthworms","Tillage management","No tillage","Pielou’s evenness index",""
"258","s_4_site_2","Earthworms","Tillage management","No tillage","Functional richness (FRic)",""
"259","s_4_site_2","Earthworms","Tillage management","No tillage","Functional evenness (FEve)",""
"260","s_4_site_2","Earthworms","Tillage management","No tillage","Functional divergence (FDiv)",""
"261","s_4_site_3","Earthworms","Tillage management","No tillage","Specific richness",""
"262","s_4_site_3","Earthworms","Tillage management","No tillage","Shannon diversity index",""
"263","s_4_site_3","Earthworms","Tillage management","No tillage","Pielou’s evenness index",""
"264","s_4_site_3","Earthworms","Tillage management","No tillage","Functional richness (FRic)",""
"265","s_4_site_3","Earthworms","Tillage management","No tillage","Functional evenness (FEve)",""
"266","s_4_site_3","Earthworms","Tillage management","No tillage","Functional divergence (FDiv)",""
"267","s_126","Beetles","Land-use change","Conventional","Body length",""
"268","s_126","Beetles","Land-use change","Conventional","Proportion of individuals","Class 1 (partially developed wings, or no functional flight musculature)"
"269","s_126","Beetles","Land-use change","Conventional","Proportion of individuals","Class 2 (less than 10% of individuals with functional wings or flight musculature)"
"270","s_126","Beetles","Land-use change","Conventional","Proportion of individuals","Class 3 (species for which flight records have been reported)"
"271","s_126","Beetles","Land-use change","Conventional","Proportion of individuals","Class 4 (functional flight musculature)"
"272","s_126","Beetles","Land-use change","Conventional","Proportion of individuals","Carnivorous"
"273","s_126","Beetles","Land-use change","Conventional","Proportion of individuals","Omnivorous"
"274","s_126","Beetles","Land-use change","Conventional","Proportion of individuals","Phytophageous"
"275","s_126","Beetles","Land-use change","Conventional","Proportion of individuals","Breeding in spring"
"276","s_126","Beetles","Land-use change","Conventional","Proportion of individuals","Breeding in automn"
"277","s_126","Beetles","Land-use change","Conventional","CWM",""
"278","s_126","Beetles","Land-use change","Conventional","Rao's quadratic diversity",""
"279","s_126","Beetles","Land-use change","Conventional","Specific richness",""
"280","s_126","Beetles","Land-use change","Conventional","RDA",""
"281","s_126","Beetles","Land-use change","Conventional","Partial redundancy analysis",""
"282","s_99","Termites","Agroforestry","Secondary forest (F) wet season","Surface density",""
"283","s_99","Termites","Agroforestry","Secondary forest (F) dry season","Surface density",""
"284","s_99","Termites","Land-use change","Secondary forest (F) wet season","Surface density",""
"285","s_99","Ants","Agroforestry","Secondary forest (F) wet season","Surface density",""
"286","s_99","Ants","Agroforestry","Secondary forest (F) dry season","Surface density",""
"287","s_99","Ants","Land-use change","Secondary forest (F) wet season","Surface density",""
"288","s_99","Earthworms","Agroforestry","Secondary forest (F) wet season","Surface density",""
"289","s_99","Earthworms","Agroforestry","Secondary forest (F) dry season","Surface density",""
"290","s_99","Earthworms","Land-use change","Secondary forest (F) wet season","Surface density",""
"291","s_99","Beetles","Agroforestry","Secondary forest (F) wet season","Surface density",""
"292","s_99","Beetles","Agroforestry","Secondary forest (F) dry season","Surface density",""
"293","s_99","Beetles","Land-use change","Secondary forest (F) wet season","Surface density",""
"294","s_99","Millipedes","Agroforestry","Secondary forest (F) wet season","Surface density",""
"295","s_99","Millipedes","Agroforestry","Secondary forest (F) dry season","Surface density",""
"296","s_99","Millipedes","Land-use change","Secondary forest (F) wet season","Surface density",""
"297","s_99","Macroinvertebrates","Agroforestry","Secondary forest (F) wet season","Proportion of total density",""
"298","s_99","Macroinvertebrates","Agroforestry","Secondary forest (F) dry season","Proportion of total density",""
"299","s_99","Macroinvertebrates","Land-use change","Secondary forest (F) wet season","Proportion of total density",""
"300","s_99","Macroinvertebrates","Agroforestry","Secondary forest (F) wet season","Proportion of total biomass",""
"301","s_99","Macroinvertebrates","Agroforestry","Secondary forest (F) dry season","Proportion of total biomass",""
"302","s_99","Macroinvertebrates","Land-use change","Secondary forest (F) wet season","Proportion of total biomass",""
"303","s_99","Macroinvertebrates",NA,"Secondary forest (F) wet season","NMDS",""
"304","s_99","Macroinvertebrates","Agroforestry","Secondary forest (F) wet season","Surface density",""
"305","s_99","Macroinvertebrates","Agroforestry","Secondary forest (F) dry season","Surface density",""
"306","s_99","Macroinvertebrates","Land-use change","Secondary forest (F) wet season","Surface density",""
"307","s_99","Macroinvertebrates","Agroforestry","Secondary forest (F) wet season","Biomass",""
"308","s_99","Macroinvertebrates","Agroforestry","Secondary forest (F) dry season","Biomass",""
"309","s_99","Macroinvertebrates","Land-use change","Secondary forest (F) wet season","Biomass",""
"310","s_99","Spiders","Agroforestry","Secondary forest (F) wet season","Surface density",""
"311","s_99","Spiders","Agroforestry","Secondary forest (F) dry season","Surface density",""
"312","s_99","Spiders","Land-use change","Secondary forest (F) wet season","Surface density",""
"313","s_122","Collembola","Land-use change","Forest","Surface density",NA
"314","s_122","Collembola","Land-use change","Forest","Specific richness",NA
"315","s_122","Collembola","Land-use change","Forest","Shannon diversity index",NA
"316","s_122","Collembola","Land-use change","Forest","Pielou’s evenness index",NA
"317","s_122","Collembola","Land-use change","Forest","CCA",NA
"318","s_122","Collembola","Land-use change","Forest","CWM","Detritus"
"319","s_122","Collembola","Land-use change","Forest","CWM","Feces"
"320","s_122","Collembola","Land-use change","Forest","CWM","Herb"
"321","s_122","Collembola","Land-use change","Forest","CWM","Litter"
"322","s_122","Collembola","Land-use change","Forest","CWM","Mineral surfaces"
"323","s_122","Collembola","Land-use change","Forest","CWM","Moss"
"324","s_122","Collembola","Land-use change","Forest","CWM","Mushrooms"
"325","s_122","Collembola","Land-use change","Forest","CWM","Nest of invertebrates"
"326","s_122","Collembola","Land-use change","Forest","CWM","Nest of vertebrates"
"327","s_122","Collembola","Land-use change","Forest","CWM","Rock"
"328","s_122","Collembola","Land-use change","Forest","CWM","Root"
"329","s_122","Collembola","Land-use change","Forest","CWM","Soil"
"330","s_122","Collembola","Land-use change","Forest","CWM","Tree"
"331","s_122","Collembola","Land-use change","Forest","CWM","Trunk"
"332","s_122","Collembola","Land-use change","Forest","CWM","<0.35 mm"
"333","s_122","Collembola","Land-use change","Forest","CWM","0.35-1 mm"
"334","s_122","Collembola","Land-use change","Forest","CWM","1-2 mm"
"335","s_122","Collembola","Land-use change","Forest","CWM","2-4 mm"
"336","s_122","Collembola","Land-use change","Forest","CWM","4-7.5 mm"
"337","s_122","Collembola","Land-use change","Forest","CWM","Cylindrical"
"338","s_122","Collembola","Land-use change","Forest","CWM","Spherical"
"339","s_122","Collembola","Land-use change","Forest","CWM","Jumping"
"340","s_122","Collembola","Land-use change","Forest","CWM","No jumping"
"341","s_122","Collembola","Land-use change","Forest","CWM","Chewing"
"342","s_122","Collembola","Land-use change","Forest","CWM","Predator"
"343","s_122","Collembola","Land-use change","Forest","CWM","Sucking"
"344","s_122","Collembola","Land-use change","Forest","CWM","With pigmentation"
"345","s_122","Collembola","Land-use change","Forest","CWM","Without pigmentation"
"346","s_122","Collembola","Land-use change","Forest","CWM","Sexual"
"347","s_122","Collembola","Land-use change","Forest","CWM","Asexual"
"348","s_125","Macroinvertebrates","Conservation agriculture","soybean–maize under conventional tillage (CT) crop rotation of maize (Zea mays L.) and soybean (Glycine max L.) using conventional tillage without restitution of residue (referred as to CT)","Surface density",NA
"349","s_125","Macroinvertebrates","Conservation agriculture","natural fallow (NF) “natural” reference system","Surface density",NA
"350","s_125","Macroinvertebrates","Conservation agriculture","soybean–maize under conventional tillage (CT) crop rotation of maize (Zea mays L.) and soybean (Glycine max L.) using conventional tillage without restitution of residue (referred as to CT)","Biomass",NA
"351","s_125","Macroinvertebrates","Conservation agriculture","natural fallow (NF) “natural” reference system","Biomass",NA
"352","s_130","Earthworms","Tillage management","Direct sowing: without any soil tillage","Surface density",NA
"353","s_130","Earthworms","Tillage management","Direct sowing: without any soil tillage","Biomass",NA
"354","s_130","Earthworms",NA,NA,"RDA",NA
"355","s_131","Other insects","Combined practices","no input of pesticides and fertilizers, three-course sugar beet rotation (sugar beet, winter wheat, winter barley, yellow mustard (catch crop))","Surface density",NA
"356","s_131","Beetles","Combined practices","no input of pesticides and fertilizers, three-course sugar beet rotation (sugar beet, winter wheat, winter barley, yellow mustard (catch crop))","Surface density",NA
"357","s_131","Spiders","Combined practices","no input of pesticides and fertilizers, three-course sugar beet rotation (sugar beet, winter wheat, winter barley, yellow mustard (catch crop))","Trap density",NA
"358","s_131","Spiders","Combined practices","no input of pesticides and fertilizers, three-course sugar beet rotation (sugar beet, winter wheat, winter barley, yellow mustard (catch crop))","Surface density",NA
