"","Study_ID","Comparative_study_code","Intervention_R2","Population_homogenized","Trait_group","Outcome_type_R1"
"117","s_8","Yin_2020_10","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"118","s_8","Yin_2020_11","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"119","s_8","Yin_2020_12","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"120","s_8","Yin_2020_13","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"121","s_8","Yin_2020_14","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"122","s_8","Yin_2020_15","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"123","s_8","Yin_2020_16","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"124","s_8","Yin_2020_17","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"125","s_8","Yin_2020_18","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"126","s_8","Yin_2020_19","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"127","s_8","Yin_2020_20","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"128","s_8","Yin_2020_22","Organic agriculture","Collembola","Morphological","Functional"
"129","s_8","Yin_2020_23","Combined practices","Collembola","Morphological","Functional"
"130","s_8","Yin_2020_24","Combined practices","Collembola","Morphological","Functional"
"131","s_8","Yin_2020_25","Combined practices","Collembola","Morphological","Functional"
"132","s_8","Yin_2020_26","Organic agriculture","Collembola","Morphological","Functional"
"133","s_8","Yin_2020_27","Organic agriculture","Collembola","Morphological","Functional"
"134","s_8","Yin_2020_28","Organic agriculture","Collembola","Morphological","Functional"
"135","s_8","Yin_2020_29","Combined practices","Collembola","Morphological","Functional"
"136","s_8","Yin_2020_30","Combined practices","Collembola","Morphological","Functional"
"137","s_8","Yin_2020_31","Combined practices","Collembola","Morphological","Functional"
"138","s_8","Yin_2020_32","Organic agriculture","Collembola","Physiological","Functional"
"139","s_8","Yin_2020_33","Combined practices","Collembola","Physiological","Functional"
"140","s_8","Yin_2020_34","Combined practices","Collembola","Physiological","Functional"
"141","s_8","Yin_2020_35","Combined practices","Collembola","Physiological","Functional"
"142","s_8","Yin_2020_36","Organic agriculture","Collembola","Physiological","Functional"
"143","s_8","Yin_2020_37","Organic agriculture","Collembola","Physiological","Functional"
"144","s_8","Yin_2020_38","Organic agriculture","Collembola","Physiological","Functional"
"145","s_8","Yin_2020_39","Combined practices","Collembola","Physiological","Functional"
"146","s_8","Yin_2020_40","Combined practices","Collembola","Physiological","Functional"
"147","s_8","Yin_2020_41","Combined practices","Collembola","Physiological","Functional"
"148","s_8","Yin_2020_42","Organic agriculture","Collembola","Morphological","Functional"
"149","s_8","Yin_2020_43","Combined practices","Collembola","Morphological","Functional"
"150","s_8","Yin_2020_44","Combined practices","Collembola","Morphological","Functional"
"151","s_8","Yin_2020_45","Combined practices","Collembola","Morphological","Functional"
"152","s_8","Yin_2020_46","Organic agriculture","Collembola","Morphological","Functional"
"153","s_8","Yin_2020_47","Organic agriculture","Collembola","Morphological","Functional"
"154","s_8","Yin_2020_48","Organic agriculture","Collembola","Morphological","Functional"
"155","s_8","Yin_2020_49","Combined practices","Collembola","Morphological","Functional"
"156","s_8","Yin_2020_50","Combined practices","Collembola","Morphological","Functional"
"157","s_8","Yin_2020_51","Combined practices","Collembola","Morphological","Functional"
"158","s_8","Yin_2020_52","Organic agriculture","Collembola","Morphological","Functional"
"159","s_8","Yin_2020_53","Combined practices","Collembola","Morphological","Functional"
"160","s_8","Yin_2020_54","Combined practices","Collembola","Morphological","Functional"
"161","s_8","Yin_2020_55","Combined practices","Collembola","Morphological","Functional"
"162","s_8","Yin_2020_56","Organic agriculture","Collembola","Morphological","Functional"
"163","s_8","Yin_2020_57","Organic agriculture","Collembola","Morphological","Functional"
"164","s_8","Yin_2020_58","Organic agriculture","Collembola","Morphological","Functional"
"165","s_8","Yin_2020_59","Combined practices","Collembola","Morphological","Functional"
"166","s_8","Yin_2020_60","Combined practices","Collembola","Morphological","Functional"
"167","s_8","Yin_2020_61","Combined practices","Collembola","Morphological","Functional"
"168","s_8","Yin_2020_62","Organic agriculture","Collembola","Morphological","Functional"
"169","s_8","Yin_2020_63","Combined practices","Collembola","Morphological","Functional"
"170","s_8","Yin_2020_64","Combined practices","Collembola","Morphological","Functional"
"171","s_8","Yin_2020_65","Combined practices","Collembola","Morphological","Functional"
"172","s_8","Yin_2020_66","Organic agriculture","Collembola","Morphological","Functional"
"173","s_8","Yin_2020_67","Organic agriculture","Collembola","Morphological","Functional"
"174","s_8","Yin_2020_68","Organic agriculture","Collembola","Morphological","Functional"
"175","s_8","Yin_2020_69","Combined practices","Collembola","Morphological","Functional"
"176","s_8","Yin_2020_70","Combined practices","Collembola","Morphological","Functional"
"177","s_8","Yin_2020_71","Combined practices","Collembola","Morphological","Functional"
"178","s_8","Yin_2020_72","Organic agriculture","Collembola","Morphological","Functional"
"179","s_8","Yin_2020_73","Combined practices","Collembola","Morphological","Functional"
"180","s_8","Yin_2020_74","Combined practices","Collembola","Morphological","Functional"
"181","s_8","Yin_2020_75","Combined practices","Collembola","Morphological","Functional"
"182","s_8","Yin_2020_76","Organic agriculture","Collembola","Morphological","Functional"
"183","s_8","Yin_2020_77","Organic agriculture","Collembola","Morphological","Functional"
"184","s_8","Yin_2020_78","Organic agriculture","Collembola","Morphological","Functional"
"185","s_8","Yin_2020_79","Combined practices","Collembola","Morphological","Functional"
"186","s_8","Yin_2020_80","Combined practices","Collembola","Morphological","Functional"
"187","s_8","Yin_2020_81","Combined practices","Collembola","Morphological","Functional"
"188","s_8","Yin_2020_82","Organic agriculture","Collembola","Morphological","Functional"
"189","s_8","Yin_2020_83","Combined practices","Collembola","Morphological","Functional"
"190","s_8","Yin_2020_84","Combined practices","Collembola","Morphological","Functional"
"191","s_8","Yin_2020_85","Combined practices","Collembola","Morphological","Functional"
"192","s_8","Yin_2020_86","Organic agriculture","Collembola","Morphological","Functional"
"193","s_8","Yin_2020_87","Organic agriculture","Collembola","Morphological","Functional"
"194","s_8","Yin_2020_88","Organic agriculture","Collembola","Morphological","Functional"
"195","s_8","Yin_2020_89","Combined practices","Collembola","Morphological","Functional"
"196","s_8","Yin_2020_90","Combined practices","Collembola","Morphological","Functional"
"197","s_8","Yin_2020_91","Combined practices","Collembola","Morphological","Functional"
"198","s_8","Yin_2020_92","Organic agriculture","Collembola","Morphological","Functional"
"199","s_8","Yin_2020_93","Combined practices","Collembola","Morphological","Functional"
"200","s_8","Yin_2020_94","Combined practices","Collembola","Morphological","Functional"
"201","s_8","Yin_2020_95","Combined practices","Collembola","Morphological","Functional"
"202","s_8","Yin_2020_96","Organic agriculture","Collembola","Morphological","Functional"
"203","s_8","Yin_2020_97","Organic agriculture","Collembola","Morphological","Functional"
"204","s_8","Yin_2020_98","Organic agriculture","Collembola","Morphological","Functional"
"205","s_8","Yin_2020_99","Combined practices","Collembola","Morphological","Functional"
"206","s_8","Yin_2020_100","Combined practices","Collembola","Morphological","Functional"
"207","s_8","Yin_2020_101","Combined practices","Collembola","Morphological","Functional"
"208","s_8","Yin_2020_102","Organic agriculture","Collembola","Morphological","Functional"
"209","s_8","Yin_2020_103","Combined practices","Collembola","Morphological","Functional"
"210","s_8","Yin_2020_104","Combined practices","Collembola","Morphological","Functional"
"211","s_8","Yin_2020_105","Combined practices","Collembola","Morphological","Functional"
"212","s_8","Yin_2020_106","Organic agriculture","Collembola","Morphological","Functional"
"213","s_8","Yin_2020_107","Organic agriculture","Collembola","Morphological","Functional"
"214","s_8","Yin_2020_108","Organic agriculture","Collembola","Morphological","Functional"
"215","s_8","Yin_2020_109","Combined practices","Collembola","Morphological","Functional"
"216","s_8","Yin_2020_110","Combined practices","Collembola","Morphological","Functional"
"217","s_8","Yin_2020_111","Combined practices","Collembola","Morphological","Functional"
"218","s_8","Yin_2020_112","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"219","s_8","Yin_2020_113","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"220","s_8","Yin_2020_114","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"221","s_8","Yin_2020_115","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"222","s_8","Yin_2020_116","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"223","s_8","Yin_2020_117","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"224","s_8","Yin_2020_118","Organic agriculture","Collembola","Morphological, Physiological, Behavioral","Functional"
"225","s_8","Yin_2020_119","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"226","s_8","Yin_2020_120","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"227","s_8","Yin_2020_121","Combined practices","Collembola","Morphological, Physiological, Behavioral","Functional"
"228","s_24","Gallé_2019_1","Organic agriculture","Spiders","Morphological","Functional"
"229","s_24","Gallé_2019_2","Organic agriculture","Spiders","Behavioral","Functional"
"230","s_24","Gallé_2019_3","Organic agriculture","Spiders","Behavioral","Functional"
"231","s_24","Gallé_2019_4","Organic agriculture","Spiders","Morphological","Functional"
"232","s_24","Gallé_2019_5","Organic agriculture","Spiders","Behavioral","Functional"
"233","s_24","Gallé_2019_6","Organic agriculture","Spiders","Behavioral","Functional"
"234","s_24","Gallé_2019_7","Organic agriculture","Spiders","Morphological, Behavioral","Functional"
"235","s_24","Gallé_2019_8","Organic agriculture","Spiders","Morphological","Functional"
"236","s_24","Gallé_2019_9","Organic agriculture","Spiders","Behavioral","Functional"
"237","s_24","Gallé_2019_10","Organic agriculture","Spiders","Behavioral","Functional"
"238","s_24","Gallé_2019_11","Organic agriculture","Spiders","Morphological","Functional"
"239","s_24","Gallé_2019_12","Organic agriculture","Spiders","Behavioral","Functional"
"240","s_24","Gallé_2019_13","Organic agriculture","Spiders","Behavioral","Functional"
"241","s_24","Gallé_2019_14","Organic agriculture","Spiders","Morphological, Behavioral","Functional"
"242","s_24","Gallé_2019_15","Organic agriculture","Beetles","Morphological","Functional"
"243","s_24","Gallé_2019_16","Organic agriculture","Beetles","Behavioral","Functional"
"244","s_24","Gallé_2019_17","Organic agriculture","Beetles","Morphological","Functional"
"245","s_24","Gallé_2019_18","Organic agriculture","Beetles","Morphological","Functional"
"246","s_24","Gallé_2019_19","Organic agriculture","Beetles","Behavioral","Functional"
"247","s_24","Gallé_2019_20","Organic agriculture","Beetles","Morphological","Functional"
"248","s_24","Gallé_2019_21","Organic agriculture","Beetles","Morphological, Behavioral","Functional"
"249","s_24","Gallé_2019_22","Organic agriculture","Beetles","Morphological","Functional"
"250","s_24","Gallé_2019_23","Organic agriculture","Beetles","Behavioral","Functional"
"251","s_24","Gallé_2019_24","Organic agriculture","Beetles","Morphological","Functional"
"252","s_24","Gallé_2019_25","Organic agriculture","Beetles","Morphological","Functional"
"253","s_24","Gallé_2019_26","Organic agriculture","Beetles","Behavioral","Functional"
"254","s_24","Gallé_2019_27","Organic agriculture","Beetles","Morphological","Functional"
"255","s_24","Gallé_2019_28","Organic agriculture","Beetles","Morphological, Behavioral","Functional"
"256","s_25","Schirmel_2016_1","Landscape complexity","Spiders","Morphological","Functional"
"257","s_25","Schirmel_2016_2","Landscape complexity","Spiders","Behavioral","Functional"
"258","s_25","Schirmel_2016_3","Landscape complexity","Spiders","Behavioral","Functional"
"259","s_25","Schirmel_2016_4","Landscape complexity","Spiders","Behavioral","Functional"
"260","s_25","Schirmel_2016_5","Landscape complexity","Spiders","Behavioral","Functional"
"261","s_25","Schirmel_2016_6","Landscape complexity","Spiders","Behavioral","Functional"
"262","s_25","Schirmel_2016_7","Landscape complexity","Beetles","Morphological","Functional"
"263","s_25","Schirmel_2016_8","Landscape complexity","Beetles","Morphological","Functional"
"264","s_25","Schirmel_2016_9","Landscape complexity","Beetles","Morphological","Functional"
"265","s_25","Schirmel_2016_10","Landscape complexity","Beetles","Morphological","Functional"
"266","s_25","Schirmel_2016_11","Landscape complexity","Beetles","Behavioral","Functional"
"267","s_25","Schirmel_2016_12","Landscape complexity","Beetles","Behavioral","Functional"
"268","s_25","Schirmel_2016_14","Landscape complexity","Spiders","Morpological, Behavioral","Functional"
"269","s_25","Schirmel_2016_15","Landscape complexity","Beetles","Morpological, Behavioral","Functional"
"270","s_27","LeProvost_2019_1","Land-use change","Macroinvertebrates","Morphological","Functional"
"271","s_27","LeProvost_2019_2","Land-use change","Macroinvertebrates","Morphological","Functional"
"272","s_32","Ponge_2013_1","Combined practices","Earthworms",NA,"Functional"
"273","s_32","Ponge_2013_2","Crop diversification","Earthworms",NA,"Functional"
"274","s_32","Ponge_2013_3","Crop diversification","Earthworms",NA,"Functional"
"275","s_32","Ponge_2013_4","Fertilisers and amendments","Earthworms",NA,"Functional"
"276","s_32","Ponge_2013_5","Crop diversification","Earthworms",NA,"Functional"
"277","s_32","Ponge_2013_6","Crop diversification","Earthworms",NA,"Functional"
"278","s_32","Ponge_2013_7","Fertilisers and amendments","Earthworms",NA,"Functional"
"279","s_32","Ponge_2013_11","Crop diversification","Macroinvertebrates",NA,"Functional"
"280","s_32","Ponge_2013_12","Crop diversification","Macroinvertebrates",NA,"Functional"
"281","s_32","Ponge_2013_13","Fertilisers and amendments","Macroinvertebrates",NA,"Functional"
"282","s_32","Ponge_2013_14","Crop diversification","Collembola",NA,"Functional"
"283","s_32","Ponge_2013_15","Crop diversification","Collembola",NA,"Functional"
"284","s_32","Ponge_2013_16","Fertilisers and amendments","Collembola",NA,"Functional"
"285","s_32","Ponge_2013_23","Combined practices","Macroinvertebrates",NA,"Functional"
"286","s_36","Woodcock_2010_1","Combined practices","Beetles","Morphological","Functional"
"287","s_36","Woodcock_2010_2","Combined practices","Beetles","Morphological","Functional"
"288","s_36","Woodcock_2010_3","Combined practices","Beetles","Morphological","Functional"
"289","s_36","Woodcock_2010_4","Combined practices","Beetles","Morphological","Functional"
"290","s_36","Woodcock_2010_5","Combined practices","Beetles","Morphological","Functional"
"291","s_36","Woodcock_2010_6","Combined practices","Beetles","Morphological","Functional"
"292","s_36","Woodcock_2010_7","Combined practices","Beetles","Morphological","Functional"
"293","s_36","Woodcock_2010_8","Combined practices","Beetles","Morphological","Functional"
"294","s_36","Woodcock_2010_9","Combined practices","Beetles","Morphological","Functional"
"295","s_36","Woodcock_2010_10","Combined practices","Beetles","Morphological","Functional"
"296","s_36","Woodcock_2010_11","Combined practices","Beetles","Morphological","Functional"
"297","s_36","Woodcock_2010_12","Combined practices","Beetles","Morphological","Functional"
"298","s_36","Woodcock_2010_13","Combined practices","Beetles","Morphological","Functional"
"299","s_36","Woodcock_2010_15","Combined practices","Beetles","Morphological","Functional"
"300","s_36","Woodcock_2010_16","Combined practices","Beetles","Morphological","Functional"
"301","s_36","Woodcock_2010_17","Combined practices","Beetles","Morphological","Functional"
"302","s_36","Woodcock_2010_18","Combined practices","Beetles","Morphological","Functional"
"303","s_36","Woodcock_2010_19","Combined practices","Beetles","Morphological","Functional"
"304","s_36","Woodcock_2010_21","Combined practices","Beetles","Morphological","Functional"
"305","s_36","Woodcock_2010_22","Combined practices","Beetles","Morphological","Functional"
"306","s_36","Woodcock_2010_23","Combined practices","Beetles","Morphological","Functional"
"307","s_36","Woodcock_2010_24","Combined practices","Beetles","Morphological","Functional"
"308","s_36","Woodcock_2010_25","Combined practices","Beetles","Morphological","Functional"
"309","s_36","Woodcock_2010_26","Combined practices","Beetles","Morphological","Functional"
"310","s_29","Fiorni_2021_21","Land-use change","Collembola","Morphological","Functional"
"311","s_29","Fiorni_2021_22","Land-use change","Collembola","Morphological","Functional"
"312","s_29","Fiorni_2021_23","Land-use change","Collembola","Morphological","Functional"
"313","s_29","Fiorni_2021_24","Land-use change","Collembola","Morphological","Functional"
"314","s_29","Fiorni_2021_49","Land-use change","Microinvertebrates","Morphological","Functional"
"315","s_29","Fiorni_2021_50","Land-use change","Microinvertebrates","Morphological","Functional"
"316","s_29","Fiorni_2021_51","Land-use change","Microinvertebrates","Morphological","Functional"
"317","s_29","Fiorni_2021_52","Land-use change","Microinvertebrates","Morphological","Functional"
"318","s_29","Fiorni_2021_53","Land-use change","Invertebrates","Morphological","Functional"
"319","s_29","Fiorni_2021_54","Land-use change","Invertebrates","Morphological","Functional"
"320","s_29","Fiorni_2021_55","Land-use change","Invertebrates","Morphological","Functional"
"321","s_29","Fiorni_2021_56","Land-use change","Invertebrates","Morphological","Functional"
"322","s_29","Fiorni_2021_61","Land-use change","Earthworms","Morphological","Functional"
"323","s_29","Fiorni_2021_62","Land-use change","Earthworms","Morphological","Functional"
"324","s_29","Fiorni_2021_63","Land-use change","Earthworms","Morphological","Functional"
"325","s_29","Fiorni_2021_64","Land-use change","Earthworms","Morphological","Functional"
"326","s_40","Gallé_2020_1","Organic agriculture","Spiders","Morphological","Functional"
"327","s_40","Gallé_2020_2","Crop diversification","Spiders","Morphological","Functional"
"328","s_40","Gallé_2020_3","Organic agriculture","Spiders","Behavioral","Functional"
"329","s_40","Gallé_2020_4","Crop diversification","Spiders","Behavioral","Functional"
"330","s_40","Gallé_2020_5","Organic agriculture","Spiders","Behavioral","Functional"
"331","s_40","Gallé_2020_6","Crop diversification","Spiders","Behavioral","Functional"
"332","s_40","Gallé_2020_7","Landscape complexity","Spiders","Behavioral","Functional"
"333","s_40","Gallé_2020_9","Organic agriculture","Beetles","Morphological","Functional"
"334","s_40","Gallé_2020_10","Crop diversification","Beetles","Morphological","Functional"
"335","s_40","Gallé_2020_11","Organic agriculture","Beetles","Behavioral","Functional"
"336","s_40","Gallé_2020_12","Crop diversification","Beetles","Behavioral","Functional"
"337","s_40","Gallé_2020_13","Landscape complexity","Beetles","Behavioral","Functional"
"338","s_40","Gallé_2020_14","Combined practices","Spiders","Morphological, Behavioral","Functional"
"339","s_40","Gallé_2020_15","Combined practices","Beetles","Morphological, Behavioral","Functional"
"340","s_44_Site 1","Fiorni_2020_1","Tillage management","Microinvertebrates","Morphological","Functional"
"341","s_44_Site 2","Fiorni_2020_2","Tillage management","Microinvertebrates","Morphological","Functional"
"342","s_44_Site 3","Fiorni_2020_3","Tillage management","Microinvertebrates","Morphological","Functional"
"343","s_44_Site 4","Fiorni_2020_4","Tillage management","Microinvertebrates","Morphological","Functional"
